arch,variant,algo,op,iterations,mean_us,stdev_us,cycles_mean
x86_64,ref,ML-KEM-512,keygen,115661,25.938,18.837,69602
x86_64,ref,ML-KEM-512,encaps,107373,27.940,2.855,74982
x86_64,ref,ML-KEM-512,decaps,87714,34.202,3.255,91806
x86_64,ref,ML-KEM-768,keygen,67713,44.305,15.651,118985
x86_64,ref,ML-KEM-768,encaps,70928,42.296,3.083,113563
x86_64,ref,ML-KEM-768,decaps,60021,49.983,3.911,134250
x86_64,ref,ML-KEM-1024,keygen,45425,66.044,18.365,177419
x86_64,ref,ML-KEM-1024,encaps,48052,62.433,4.943,167683
x86_64,ref,ML-KEM-1024,decaps,40929,73.298,13.797,196888
x86_64,ref,ML-DSA-44,keypair,36389,82.443,7.973,221443
x86_64,ref,ML-DSA-44,sign,10123,296.358,188.882,796407
x86_64,ref,ML-DSA-44,verify,35538,84.417,5.341,226760
x86_64,ref,ML-DSA-65,keypair,18616,161.152,12.170,433015
x86_64,ref,ML-DSA-65,sign,6245,480.405,307.382,1290971
x86_64,ref,ML-DSA-65,verify,22080,135.875,6.367,365044
x86_64,ref,ML-DSA-87,keypair,13162,227.945,15.305,612536
x86_64,ref,ML-DSA-87,sign,5109,587.273,309.014,1578352
x86_64,ref,ML-DSA-87,verify,13274,226.015,9.942,607339
x86_64,opt,ML-KEM-512,keygen,269591,11.128,9.414,29831
x86_64,opt,ML-KEM-512,encaps,240529,12.473,2.014,33443
x86_64,opt,ML-KEM-512,decaps,196176,15.292,2.063,41029
x86_64,opt,ML-KEM-768,keygen,163009,18.404,9.786,49378
x86_64,opt,ML-KEM-768,encaps,157860,19.004,1.746,50993
x86_64,opt,ML-KEM-768,decaps,127084,23.607,2.469,63375
x86_64,opt,ML-KEM-1024,keygen,117986,25.427,10.749,68253
x86_64,opt,ML-KEM-1024,encaps,110726,27.094,2.814,72721
x86_64,opt,ML-KEM-1024,decaps,90748,33.059,2.525,88768
x86_64,opt,ML-DSA-44,keypair,78994,37.978,3.747,101984
x86_64,opt,ML-DSA-44,sign,27426,109.388,66.115,293571
x86_64,opt,ML-DSA-44,verify,80024,37.489,4.577,100531
x86_64,opt,ML-DSA-65,keypair,45692,65.658,9.421,176394
x86_64,opt,ML-DSA-65,sign,16670,179.971,110.043,483151
x86_64,opt,ML-DSA-65,verify,47572,63.062,4.537,168914
x86_64,opt,ML-DSA-87,keypair,28383,105.698,12.095,283987
x86_64,opt,ML-DSA-87,sign,13825,217.006,107.550,582729
x86_64,opt,ML-DSA-87,verify,30144,99.525,6.570,266893
