algo,op,iter,wall_ns,cycles
rsa-15360,keygen,0,173935198859,9392500728
rsa-15360,keygen,1,260846341622,14085702425
rsa-15360,keygen,2,1203519956857,64990077691
rsa-15360,pss-sign,0,1599712591,86384464
rsa-15360,pss-sign,1,1599705018,86384058
rsa-15360,pss-sign,2,1599769573,86387538
rsa-15360,pss-sign,3,1599790721,86388687
rsa-15360,pss-sign,4,1599766795,86387394
rsa-15360,pss-sign,5,1599762110,86387141
rsa-15360,pss-sign,6,1599729036,86385344
rsa-15360,pss-sign,7,1599749591,86386460
rsa-15360,pss-sign,8,1599740740,86385974
rsa-15360,pss-sign,9,1599791054,86388689
rsa-15360,pss-sign,10,1599745943,86386266
rsa-15360,pss-sign,11,1599738832,86385884
rsa-15360,pss-sign,12,1599773296,86387734
rsa-15360,pss-sign,13,1599724629,86385118
rsa-15360,pss-sign,14,1599778777,86388038
rsa-15360,pss-sign,15,1599729832,86385398
rsa-15360,pss-sign,16,1599754333,86386721
rsa-15360,pss-sign,17,1599733629,86385588
rsa-15360,pss-sign,18,1599744647,86386197
rsa-15360,pss-sign,19,1599751648,86386571
rsa-15360,pss-sign,20,1599740666,86385987
rsa-15360,pss-sign,21,1599738666,86385878
rsa-15360,pss-sign,22,1662607203,89780768
rsa-15360,pss-sign,23,1599770369,86387592
rsa-15360,pss-sign,24,1599719684,86384853
rsa-15360,pss-sign,25,1599718591,86384794
rsa-15360,pss-sign,26,1599765110,86387300
rsa-15360,pss-sign,27,1599788480,86388563
rsa-15360,pss-sign,28,1599782962,86388271
rsa-15360,pss-sign,29,1599760055,86387034
rsa-15360,pss-sign,30,1599752184,86386603
rsa-15360,pss-sign,31,1599747981,86386382
rsa-15360,pss-sign,32,1599744851,86386206
rsa-15360,pss-sign,33,1599803073,86389340
rsa-15360,pss-sign,34,1599813332,86389898
rsa-15360,pss-sign,35,1599765962,86387352
rsa-15360,pss-sign,36,1599763203,86387203
rsa-15360,pss-sign,37,1599737499,86385813
rsa-15360,pss-sign,38,1599746147,86386280
rsa-15360,pss-sign,39,1599745147,86386226
rsa-15360,pss-sign,40,1599701277,86383859
rsa-15360,pss-sign,41,1599787166,86388497
rsa-15360,pss-sign,42,1599743777,86386133
rsa-15360,pss-sign,43,1599756147,86386822
rsa-15360,pss-sign,44,1599751944,86386596
rsa-15360,pss-sign,45,1599699740,86383777
rsa-15360,pss-sign,46,1599801628,86389275
rsa-15360,pss-sign,47,1599762685,86387172
rsa-15360,pss-sign,48,1599768870,86387488
rsa-15360,pss-sign,49,1599971888,86398457
rsa-15360,pss-sign,50,1599755166,86386769
rsa-15360,pss-sign,51,1599781666,86388200
rsa-15360,pss-sign,52,1599762296,86387142
rsa-15360,pss-sign,53,1599775925,86387879
rsa-15360,pss-sign,54,1663172610,89811311
rsa-15360,pss-sign,55,1599778666,86388025
rsa-15360,pss-sign,56,1599758721,86386962
rsa-15360,pss-sign,57,1599758832,86386963
rsa-15360,pss-sign,58,1599766537,86387373
rsa-15360,pss-sign,59,1599714888,86384594
rsa-15360,pss-sign,60,1599765221,86387314
rsa-15360,pss-sign,61,1599743425,86386137
rsa-15360,pss-sign,62,1599704499,86384027
rsa-15360,pss-sign,63,1599737554,86385818
rsa-15360,pss-sign,64,1599730406,86385422
rsa-15360,pss-sign,65,1599779165,86388045
rsa-15360,pss-sign,66,1599758425,86386946
rsa-15360,pss-sign,67,1599786999,86388480
rsa-15360,pss-sign,68,1599787703,86388520
rsa-15360,pss-sign,69,1599681592,86382796
rsa-15360,pss-sign,70,1599816407,86390077
rsa-15360,pss-sign,71,1599769092,86387499
rsa-15360,pss-sign,72,1599769110,86387503
rsa-15360,pss-sign,73,1599800832,86389235
rsa-15360,pss-sign,74,1599731758,86385506
rsa-15360,pss-sign,75,1599746036,86386276
rsa-15360,pss-sign,76,1599786110,86388440
rsa-15360,pss-sign,77,1599769981,86387564
rsa-15360,pss-sign,78,1599792925,86388799
rsa-15360,pss-sign,79,1599799074,86389136
rsa-15360,pss-sign,80,1599778684,86388030
rsa-15360,pss-sign,81,1599845203,86391626
rsa-15360,pss-sign,82,1599777907,86387992
rsa-15360,pss-sign,83,1599765351,86387314
rsa-15360,pss-sign,84,1599735629,86385701
rsa-15360,pss-sign,85,1599747166,86386338
rsa-15360,pss-sign,86,1663043832,89804358
rsa-15360,pss-sign,87,1599803981,86389399
rsa-15360,pss-sign,88,1599776481,86387917
rsa-15360,pss-sign,89,1599758388,86386945
rsa-15360,pss-sign,90,1599739017,86385891
rsa-15360,pss-sign,91,1599735888,86385724
rsa-15360,pss-sign,92,1599758092,86386917
rsa-15360,pss-sign,93,1599695222,86383526
rsa-15360,pss-sign,94,1599761018,86387077
rsa-15360,pss-sign,95,1599768943,86387508
rsa-15360,pss-sign,96,1599797295,86389011
rsa-15360,pss-sign,97,1599737795,86385793
rsa-15360,pss-sign,98,1599793406,86388822
rsa-15360,pss-sign,99,1599784129,86388335
rsa-15360,pss-verify,0,6886667,371873
rsa-15360,pss-verify,1,6891425,372130
rsa-15360,pss-verify,2,6888945,371995
rsa-15360,pss-verify,3,6892629,372195
rsa-15360,pss-verify,4,6895982,372374
rsa-15360,pss-verify,5,6891815,372151
rsa-15360,pss-verify,6,6888667,371981
rsa-15360,pss-verify,7,6917166,373520
rsa-15360,pss-verify,8,6897463,372454
