algo,metric,value
rsa-3072,key-size,3072
rsa-3072,keygen-iters,1000
rsa-3072,keygen-wall-median-ns,1340308703.0
rsa-3072,keygen-wall-mean-ns,1582830931.2
rsa-3072,keygen-wall-std-ns,987286449.3
rsa-3072,keygen-wall-p95-ns,3414261387.0
rsa-3072,keygen-wall-p99-ns,4867903164.0
rsa-3072,keygen-wall-ci95lo-ns,1521638283.1
rsa-3072,keygen-wall-ci95hi-ns,1644023579.3
rsa-3072,keygen-cyc-median,72376655.0
rsa-3072,keygen-cyc-mean,85472860.8
rsa-3072,keygen-persec,0.7
rsa-3072,pss-sign-iters,2000
rsa-3072,pss-sign-wall-median-ns,18241981.0
rsa-3072,pss-sign-wall-mean-ns,18352648.3
rsa-3072,pss-sign-wall-std-ns,588830.2
rsa-3072,pss-sign-wall-p95-ns,18318426.0
rsa-3072,pss-sign-wall-p99-ns,21631426.0
rsa-3072,pss-sign-wall-ci95lo-ns,18326841.7
rsa-3072,pss-sign-wall-ci95hi-ns,18378455.0
rsa-3072,pss-sign-cyc-median,985059.0
rsa-3072,pss-sign-cyc-mean,991033.5
rsa-3072,pss-sign-persec,54.8
rsa-3072,pss-verify-iters,2000
rsa-3072,pss-verify-wall-median-ns,334667.0
rsa-3072,pss-verify-wall-mean-ns,335576.7
rsa-3072,pss-verify-wall-std-ns,3563.3
rsa-3072,pss-verify-wall-p95-ns,343852.0
rsa-3072,pss-verify-wall-p99-ns,344778.0
rsa-3072,pss-verify-wall-ci95lo-ns,335420.5
rsa-3072,pss-verify-wall-ci95hi-ns,335732.9
rsa-3072,pss-verify-cyc-median,18066.0
rsa-3072,pss-verify-cyc-mean,18115.2
rsa-3072,pss-verify-persec,2988.0
rsa-3072,oaep-encrypt-iters,2000
rsa-3072,oaep-encrypt-wall-median-ns,347055.0
rsa-3072,oaep-encrypt-wall-mean-ns,348095.5
rsa-3072,oaep-encrypt-wall-std-ns,3561.2
rsa-3072,oaep-encrypt-wall-p95-ns,356297.0
rsa-3072,oaep-encrypt-wall-p99-ns,356981.0
rsa-3072,oaep-encrypt-wall-ci95lo-ns,347939.4
rsa-3072,oaep-encrypt-wall-ci95hi-ns,348251.5
rsa-3072,oaep-encrypt-cyc-median,18733.0
rsa-3072,oaep-encrypt-cyc-mean,18789.9
rsa-3072,oaep-encrypt-persec,2881.4
rsa-3072,oaep-decrypt-iters,2000
rsa-3072,oaep-decrypt-wall-median-ns,18246833.0
rsa-3072,oaep-decrypt-wall-mean-ns,18357140.0
rsa-3072,oaep-decrypt-wall-std-ns,592148.9
rsa-3072,oaep-decrypt-wall-p95-ns,18287760.0
rsa-3072,oaep-decrypt-wall-p99-ns,21652852.0
rsa-3072,oaep-decrypt-wall-ci95lo-ns,18331187.9
rsa-3072,oaep-decrypt-wall-ci95hi-ns,18383092.1
rsa-3072,oaep-decrypt-cyc-median,985321.0
rsa-3072,oaep-decrypt-cyc-mean,991277.8
rsa-3072,oaep-decrypt-persec,54.8
rsa-3072,size-key-bits,3072
rsa-3072,size-signature-bytes,384
ecdsa-P-256,keygen-iters,1000
ecdsa-P-256,keygen-wall-median-ns,93000.0
ecdsa-P-256,keygen-wall-mean-ns,93396.7
ecdsa-P-256,keygen-wall-std-ns,2384.1
ecdsa-P-256,keygen-wall-p95-ns,93704.0
ecdsa-P-256,keygen-wall-p99-ns,105204.0
ecdsa-P-256,keygen-wall-ci95lo-ns,93249.0
ecdsa-P-256,keygen-wall-ci95hi-ns,93544.5
ecdsa-P-256,keygen-cyc-median,5016.0
ecdsa-P-256,keygen-cyc-mean,5036.7
ecdsa-P-256,keygen-persec,10752.7
ecdsa-P-256,sign-iters,2000
ecdsa-P-256,sign-wall-median-ns,118389.0
ecdsa-P-256,sign-wall-mean-ns,118845.8
ecdsa-P-256,sign-wall-std-ns,3016.3
ecdsa-P-256,sign-wall-p95-ns,119463.0
ecdsa-P-256,sign-wall-p99-ns,128926.0
ecdsa-P-256,sign-wall-ci95lo-ns,118713.6
ecdsa-P-256,sign-wall-ci95hi-ns,118978.0
ecdsa-P-256,sign-cyc-median,6386.0
ecdsa-P-256,sign-cyc-mean,6410.3
ecdsa-P-256,sign-persec,8446.7
ecdsa-P-256,verify-iters,2000
ecdsa-P-256,verify-wall-median-ns,345945.0
ecdsa-P-256,verify-wall-mean-ns,348708.5
ecdsa-P-256,verify-wall-std-ns,11984.3
ecdsa-P-256,verify-wall-p95-ns,356130.0
ecdsa-P-256,verify-wall-p99-ns,428204.0
ecdsa-P-256,verify-wall-ci95lo-ns,348183.3
ecdsa-P-256,verify-wall-ci95hi-ns,349233.7
ecdsa-P-256,verify-cyc-median,18674.0
ecdsa-P-256,verify-cyc-mean,18823.5
ecdsa-P-256,verify-persec,2890.6
ecdsa-P-256,size-key-bits,256
ecdsa-P-256,size-pubkey-bytes,65
ecdsa-P-256,size-signature-max-bytes,72
ecdsa-P-384,keygen-iters,1000
ecdsa-P-384,keygen-wall-median-ns,4018278.0
ecdsa-P-384,keygen-wall-mean-ns,4019764.7
ecdsa-P-384,keygen-wall-std-ns,16826.4
ecdsa-P-384,keygen-wall-p95-ns,4025833.0
ecdsa-P-384,keygen-wall-p99-ns,4035333.0
ecdsa-P-384,keygen-wall-ci95lo-ns,4018721.8
ecdsa-P-384,keygen-wall-ci95hi-ns,4020807.6
ecdsa-P-384,keygen-cyc-median,216979.0
ecdsa-P-384,keygen-cyc-mean,217059.0
ecdsa-P-384,keygen-persec,248.9
ecdsa-P-384,sign-iters,2000
ecdsa-P-384,sign-wall-median-ns,4182444.0
ecdsa-P-384,sign-wall-mean-ns,4183695.7
ecdsa-P-384,sign-wall-std-ns,13941.9
ecdsa-P-384,sign-wall-p95-ns,4190222.0
ecdsa-P-384,sign-wall-p99-ns,4202759.0
ecdsa-P-384,sign-wall-ci95lo-ns,4183084.7
ecdsa-P-384,sign-wall-ci95hi-ns,4184306.7
ecdsa-P-384,sign-cyc-median,225843.0
ecdsa-P-384,sign-cyc-mean,225910.7
ecdsa-P-384,sign-persec,239.1
ecdsa-P-384,verify-iters,2000
ecdsa-P-384,verify-wall-median-ns,3302407.0
ecdsa-P-384,verify-wall-mean-ns,3302922.8
ecdsa-P-384,verify-wall-std-ns,10006.0
ecdsa-P-384,verify-wall-p95-ns,3312981.0
ecdsa-P-384,verify-wall-p99-ns,3327148.0
ecdsa-P-384,verify-wall-ci95lo-ns,3302484.2
ecdsa-P-384,verify-wall-ci95hi-ns,3303361.3
ecdsa-P-384,verify-cyc-median,178320.0
ecdsa-P-384,verify-cyc-mean,178349.1
ecdsa-P-384,verify-persec,302.8
ecdsa-P-384,size-key-bits,384
ecdsa-P-384,size-pubkey-bytes,97
ecdsa-P-384,size-signature-max-bytes,104
ecdsa-P-521,keygen-iters,1000
ecdsa-P-521,keygen-wall-median-ns,10411389.0
ecdsa-P-521,keygen-wall-mean-ns,10413970.3
ecdsa-P-521,keygen-wall-std-ns,14082.3
ecdsa-P-521,keygen-wall-p95-ns,10438723.0
ecdsa-P-521,keygen-wall-p99-ns,10474944.0
ecdsa-P-521,keygen-wall-ci95lo-ns,10413097.5
ecdsa-P-521,keygen-wall-ci95hi-ns,10414843.1
ecdsa-P-521,keygen-cyc-median,562206.0
ecdsa-P-521,keygen-cyc-mean,562346.4
ecdsa-P-521,keygen-persec,96.0
ecdsa-P-521,sign-iters,2000
ecdsa-P-521,sign-wall-median-ns,11017389.0
ecdsa-P-521,sign-wall-mean-ns,11018722.3
ecdsa-P-521,sign-wall-std-ns,12848.0
ecdsa-P-521,sign-wall-p95-ns,11029000.0
ecdsa-P-521,sign-wall-p99-ns,11093204.0
ecdsa-P-521,sign-wall-ci95lo-ns,11018159.2
ecdsa-P-521,sign-wall-ci95hi-ns,11019285.4
ecdsa-P-521,sign-cyc-median,594931.0
ecdsa-P-521,sign-cyc-mean,595001.8
ecdsa-P-521,sign-persec,90.8
ecdsa-P-521,verify-iters,2000
ecdsa-P-521,verify-wall-median-ns,8396945.0
ecdsa-P-521,verify-wall-mean-ns,8398475.7
ecdsa-P-521,verify-wall-std-ns,13046.8
ecdsa-P-521,verify-wall-p95-ns,8414019.0
ecdsa-P-521,verify-wall-p99-ns,8438741.0
ecdsa-P-521,verify-wall-ci95lo-ns,8397903.9
ecdsa-P-521,verify-wall-ci95hi-ns,8399047.5
ecdsa-P-521,verify-cyc-median,453426.0
ecdsa-P-521,verify-cyc-mean,453508.3
ecdsa-P-521,verify-persec,119.1
ecdsa-P-521,size-key-bits,521
ecdsa-P-521,size-pubkey-bytes,133
ecdsa-P-521,size-signature-max-bytes,139
ecdh-P-256,keygen-iters,1000
ecdh-P-256,keygen-wall-median-ns,93408.0
ecdh-P-256,keygen-wall-mean-ns,93820.7
ecdh-P-256,keygen-wall-std-ns,2912.4
ecdh-P-256,keygen-wall-p95-ns,94167.0
ecdh-P-256,keygen-wall-p99-ns,104870.0
ecdh-P-256,keygen-wall-ci95lo-ns,93640.2
ecdh-P-256,keygen-wall-ci95hi-ns,94001.2
ecdh-P-256,keygen-cyc-median,5037.0
ecdh-P-256,keygen-cyc-mean,5059.5
ecdh-P-256,keygen-persec,10705.7
ecdh-P-256,derive-iters,2000
ecdh-P-256,derive-wall-median-ns,262537.0
ecdh-P-256,derive-wall-mean-ns,263194.9
ecdh-P-256,derive-wall-std-ns,3464.6
ecdh-P-256,derive-wall-p95-ns,270759.0
ecdh-P-256,derive-wall-p99-ns,271760.0
ecdh-P-256,derive-wall-ci95lo-ns,263043.1
ecdh-P-256,derive-wall-ci95hi-ns,263346.8
ecdh-P-256,derive-cyc-median,14173.0
ecdh-P-256,derive-cyc-mean,14208.2
ecdh-P-256,derive-persec,3809.0
ecdh-P-256,size-key-bits,256
ecdh-P-256,size-pubkey-bytes,65
ecdh-P-384,keygen-iters,1000
ecdh-P-384,keygen-wall-median-ns,4018444.0
ecdh-P-384,keygen-wall-mean-ns,4020595.3
ecdh-P-384,keygen-wall-std-ns,13371.4
ecdh-P-384,keygen-wall-p95-ns,4030278.0
ecdh-P-384,keygen-wall-p99-ns,4043370.0
ecdh-P-384,keygen-wall-ci95lo-ns,4019766.5
ecdh-P-384,keygen-wall-ci95hi-ns,4021424.0
ecdh-P-384,keygen-cyc-median,216988.0
ecdh-P-384,keygen-cyc-mean,217104.2
ecdh-P-384,keygen-persec,248.9
ecdh-P-384,derive-iters,2000
ecdh-P-384,derive-wall-median-ns,3943889.0
ecdh-P-384,derive-wall-mean-ns,3944913.2
ecdh-P-384,derive-wall-std-ns,10301.1
ecdh-P-384,derive-wall-p95-ns,3951555.0
ecdh-P-384,derive-wall-p99-ns,3959556.0
