algo,op,iter,wall_ns,cycles
rsa-7680,keygen,0,4765316696,12809170198
rsa-7680,keygen,1,2912541378,7828910868
rsa-7680,keygen,2,2271272885,6105181258
rsa-7680,keygen,3,3876080420,10418903770
rsa-7680,keygen,4,1088232931,2925169960
rsa-7680,keygen,5,669470874,1799537540
rsa-7680,keygen,6,4346732047,11684015154
rsa-7680,keygen,7,1375023024,3696061694
rsa-7680,keygen,8,3327283678,8943738178
rsa-7680,keygen,9,7582553213,20381902258
rsa-7680,keygen,10,8281916981,22261792026
rsa-7680,keygen,11,10396551657,27945929470
rsa-7680,keygen,12,4438803350,11931502252
rsa-7680,keygen,13,5204780102,13990447970
rsa-7680,keygen,14,2879686135,7740595932
rsa-7680,keygen,15,4232205542,11376168044
rsa-7680,keygen,16,9117266703,24507211928
rsa-7680,keygen,17,1847062236,4964903022
rsa-7680,keygen,18,3291053617,8846351624
rsa-7680,keygen,19,8410057429,22606233486
rsa-7680,keygen,20,4198785851,11286335936
rsa-7680,keygen,21,2013997198,5413624216
rsa-7680,keygen,22,3215065115,8642094580
rsa-7680,keygen,23,10051478730,27018372732
rsa-7680,keygen,24,3325297730,8938399886
rsa-7680,keygen,25,6685294791,17970071740
rsa-7680,keygen,26,9486100784,25498637640
rsa-7680,keygen,27,3027339526,8137488240
rsa-7680,keygen,28,6379446484,17147951510
rsa-7680,keygen,29,4385775809,11788964480
rsa-7680,keygen,30,4069706185,10939369752
rsa-7680,keygen,31,786894605,2115172512
rsa-7680,keygen,32,11850258271,31853492470
rsa-7680,keygen,33,1640498399,4409659470
rsa-7680,keygen,34,3903878317,10493624444
rsa-7680,keygen,35,2513217470,6755528240
rsa-7680,keygen,36,1884282053,5064949924
rsa-7680,keygen,37,3534898073,9501804612
rsa-7680,keygen,38,12911341650,34705684400
rsa-7680,keygen,39,2187129115,5879002812
rsa-7680,keygen,40,3852505714,10355534930
rsa-7680,keygen,41,4471624771,12019726872
rsa-7680,keygen,42,2864149919,7698834608
rsa-7680,keygen,43,9087983547,24428498806
rsa-7680,keygen,44,4405858824,11842948052
rsa-7680,keygen,45,3913731788,10520110526
rsa-7680,keygen,46,1883948419,5064053126
rsa-7680,keygen,47,2084487789,5603102864
rsa-7680,keygen,48,1359172320,3653454962
rsa-7680,keygen,49,25139140803,67574007900
rsa-7680,keygen,50,540425188,1452662790
rsa-7680,keygen,51,5918517045,15908973262
rsa-7680,keygen,52,4778768927,12845329916
rsa-7680,keygen,53,7041696761,18928079794
rsa-7680,keygen,54,10306427605,27703676362
rsa-7680,keygen,55,1244002454,3343878350
rsa-7680,keygen,56,3648548668,9807298322
rsa-7680,keygen,57,2372742150,6377930578
rsa-7680,keygen,58,3777851558,10154864558
rsa-7680,keygen,59,1144791768,3077200100
rsa-7680,keygen,60,7197960536,19348117214
rsa-7680,keygen,61,11888880653,31957309400
rsa-7680,keygen,62,1145133716,3078119258
rsa-7680,keygen,63,1451436027,3901459846
rsa-7680,keygen,64,3904990289,10496613432
rsa-7680,keygen,65,2198560519,5909730422
rsa-7680,keygen,66,293586831,789161308
rsa-7680,keygen,67,3403693843,9149128654
rsa-7680,keygen,68,6963246144,18717204956
rsa-7680,keygen,69,6385471899,17164147832
rsa-7680,keygen,70,5281032798,14195415612
rsa-7680,keygen,71,1668383705,4484615172
rsa-7680,keygen,72,1753014523,4712102806
rsa-7680,keygen,73,2148759637,5775865656
rsa-7680,keygen,74,2692260180,7236795064
rsa-7680,keygen,75,263293921,707733934
rsa-7680,keygen,76,4164042691,11192946330
rsa-7680,keygen,77,11995946798,32245103870
rsa-7680,keygen,78,3787953837,10182019524
rsa-7680,keygen,79,1593255352,4282670184
rsa-7680,keygen,80,696700589,1872731056
rsa-7680,keygen,81,1445372541,3885161198
rsa-7680,keygen,82,4571434032,12288014192
rsa-7680,keygen,83,7032848773,18904294372
rsa-7680,keygen,84,2561749087,6885980876
rsa-7680,keygen,85,2489670008,6692232486
rsa-7680,keygen,86,4675571151,12567934658
rsa-7680,keygen,87,5984467612,16086247912
rsa-7680,keygen,88,4334335720,11650693384
rsa-7680,keygen,89,9045561510,24314467530
rsa-7680,keygen,90,438193137,1177862894
rsa-7680,keygen,91,3476470967,9344753464
rsa-7680,keygen,92,7812738128,21000638880
rsa-7680,keygen,93,7719157909,20749095568
rsa-7680,keygen,94,13320858526,35806465586
rsa-7680,keygen,95,8400048850,22579330386
rsa-7680,keygen,96,7071885659,19009227846
rsa-7680,keygen,97,6427422507,17276910060
rsa-7680,keygen,98,1362544171,3662518470
rsa-7680,keygen,99,9961058321,26775323306
rsa-7680,pss-sign,0,27827315,74799724
rsa-7680,pss-sign,1,27786810,74690834
rsa-7680,pss-sign,2,27873044,74922622
rsa-7680,pss-sign,3,28146075,75656558
rsa-7680,pss-sign,4,27838958,74831048
rsa-7680,pss-sign,5,27620477,74243772
rsa-7680,pss-sign,6,27824672,74792634
rsa-7680,pss-sign,7,27916110,75038410
rsa-7680,pss-sign,8,28221048,75858108
rsa-7680,pss-sign,9,27836032,74823172
rsa-7680,pss-sign,10,28184549,75759944
rsa-7680,pss-sign,11,27748465,74587800
rsa-7680,pss-sign,12,28040392,75372506
rsa-7680,pss-sign,13,27828625,74803254
rsa-7680,pss-sign,14,27981112,75213152
rsa-7680,pss-sign,15,27691110,74433632
rsa-7680,pss-sign,16,27688179,74425760
rsa-7680,pss-sign,17,27731186,74541346
rsa-7680,pss-sign,18,28120825,75588704
rsa-7680,pss-sign,19,27653030,74331274
rsa-7680,pss-sign,20,27945672,75117892
rsa-7680,pss-sign,21,27938085,75097488
rsa-7680,pss-sign,22,29856000,80252858
rsa-7680,pss-sign,23,27984738,75222906
rsa-7680,pss-sign,24,27960689,75158242
rsa-7680,pss-sign,25,27888719,74964810
rsa-7680,pss-sign,26,28007885,75285128
rsa-7680,pss-sign,27,27714135,74495488
rsa-7680,pss-sign,28,28057433,75418300
rsa-7680,pss-sign,29,27720833,74513526
rsa-7680,pss-sign,30,27904771,75007952
rsa-7680,pss-sign,31,27870664,74916272
rsa-7680,pss-sign,32,27983873,75220572
rsa-7680,pss-sign,33,27649640,74322170
rsa-7680,pss-sign,34,27885111,74955114
rsa-7680,pss-sign,35,28018367,75313278
rsa-7680,pss-sign,36,27650474,74324402
rsa-7680,pss-sign,37,27726128,74527756
rsa-7680,pss-sign,38,27554754,74067108
rsa-7680,pss-sign,39,27966963,75175110
rsa-7680,pss-sign,40,27760100,74619082
rsa-7680,pss-sign,41,27502016,73925350
rsa-7680,pss-sign,42,28028657,75340962
rsa-7680,pss-sign,43,27936641,75093610
rsa-7680,pss-sign,44,27840669,74835648
rsa-7680,pss-sign,45,27649821,74322652
rsa-7680,pss-sign,46,27820768,74782134
rsa-7680,pss-sign,47,27984280,75221680
rsa-7680,pss-sign,48,27719870,74510938
rsa-7680,pss-sign,49,27791693,74703998
rsa-7680,pss-sign,50,27505404,73934438
rsa-7680,pss-sign,51,27928411,75071500
rsa-7680,pss-sign,52,27649084,74320664
rsa-7680,pss-sign,53,27868885,74911496
rsa-7680,pss-sign,54,29788798,80072204
rsa-7680,pss-sign,55,28294820,76056392
rsa-7680,pss-sign,56,27896165,74984818
rsa-7680,pss-sign,57,28238587,75905244
rsa-7680,pss-sign,58,27966180,75173016
rsa-7680,pss-sign,59,27682178,74409630
rsa-7680,pss-sign,60,28061329,75428790
rsa-7680,pss-sign,61,27950069,75129694
rsa-7680,pss-sign,62,28188008,75769272
rsa-7680,pss-sign,63,27885256,74955496
rsa-7680,pss-sign,64,28134106,75624404
rsa-7680,pss-sign,65,28329290,76149046
rsa-7680,pss-sign,66,27765686,74634092
rsa-7680,pss-sign,67,27976750,75201430
rsa-7680,pss-sign,68,27937642,75096296
rsa-7680,pss-sign,69,27849957,74860608
rsa-7680,pss-sign,70,27804669,74738878
rsa-7680,pss-sign,71,27709645,74483460
rsa-7680,pss-sign,72,27868217,74909678
rsa-7680,pss-sign,73,28096803,75524136
rsa-7680,pss-sign,74,28167321,75713660
rsa-7680,pss-sign,75,27815752,74768674
rsa-7680,pss-sign,76,27682752,74411142
rsa-7680,pss-sign,77,28101165,75535830
rsa-7680,pss-sign,78,27890143,74968632
rsa-7680,pss-sign,79,27972908,75191080
rsa-7680,pss-sign,80,27602903,74196494
rsa-7680,pss-sign,81,27842479,74840480
rsa-7680,pss-sign,82,27988264,75232348
rsa-7680,pss-sign,83,27842428,74840356
rsa-7680,pss-sign,84,27651591,74327370
rsa-7680,pss-sign,85,28001965,75269166
rsa-7680,pss-sign,86,30223683,81241190
rsa-7680,pss-sign,87,28183485,75757126
rsa-7680,pss-sign,88,27777066,74664652
rsa-7680,pss-sign,89,27913870,75032420
rsa-7680,pss-sign,90,27641744,74300924
rsa-7680,pss-sign,91,28040261,75372152
rsa-7680,pss-sign,92,28207731,75822310
rsa-7680,pss-sign,93,27998501,75259902
rsa-7680,pss-sign,94,27879392,74939716
rsa-7680,pss-sign,95,28004161,75275110
rsa-7680,pss-sign,96,27847288,74853442
rsa-7680,pss-sign,97,27853206,74869350
rsa-7680,pss-sign,98,28015270,75304950
rsa-7680,pss-sign,99,28087547,75499260
rsa-7680,pss-verify,0,169996,456868
rsa-7680,pss-verify,1,169743,456186
rsa-7680,pss-verify,2,169522,455618
rsa-7680,pss-verify,3,169347,455152
rsa-7680,pss-verify,4,189623,509566
rsa-7680,pss-verify,5,169732,456188
rsa-7680,pss-verify,6,169300,455022
rsa-7680,pss-verify,7,170406,457996
rsa-7680,pss-verify,8,169375,455226
rsa-7680,pss-verify,9,171110,459874
rsa-7680,pss-verify,10,169392,455274
rsa-7680,pss-verify,11,171357,460554
rsa-7680,pss-verify,12,168838,453784
rsa-7680,pss-verify,13,171831,461830
rsa-7680,pss-verify,14,169579,455774
rsa-7680,pss-verify,15,170524,458314
rsa-7680,pss-verify,16,169578,455774
rsa-7680,pss-verify,17,169567,455740
rsa-7680,pss-verify,18,169075,454418
rsa-7680,pss-verify,19,168981,454164
rsa-7680,pss-verify,20,169622,455890
rsa-7680,pss-verify,21,170448,458104
rsa-7680,pss-verify,22,169574,455760
rsa-7680,pss-verify,23,169378,455236
rsa-7680,pss-verify,24,169073,454414
rsa-7680,pss-verify,25,170442,458098
rsa-7680,pss-verify,26,168836,453776
rsa-7680,pss-verify,27,169858,456518
rsa-7680,pss-verify,28,169265,454928
rsa-7680,pss-verify,29,169063,454388
rsa-7680,pss-verify,30,168748,453542
rsa-7680,pss-verify,31,169968,456816
rsa-7680,pss-verify,32,169032,454296
rsa-7680,pss-verify,33,171147,459982
rsa-7680,pss-verify,34,169177,454690
rsa-7680,pss-verify,35,169272,454948
rsa-7680,pss-verify,36,169943,456752
rsa-7680,pss-verify,37,168821,453738
rsa-7680,pss-verify,38,169120,454542
rsa-7680,pss-verify,39,170591,458482
rsa-7680,pss-verify,40,169591,455808
