algo,metric,value
rsa-3072,key-size,3072
rsa-3072,keygen-iters,200
rsa-3072,keygen-wall-median-ns,106412940.0
rsa-3072,keygen-wall-mean-ns,124709824.2
rsa-3072,keygen-wall-std-ns,78131590.7
rsa-3072,keygen-wall-p95-ns,294889532.0
rsa-3072,keygen-wall-p99-ns,353627363.0
rsa-3072,keygen-wall-ci95lo-ns,113881338.1
rsa-3072,keygen-wall-ci95hi-ns,135538310.2
rsa-3072,keygen-cyc-median,286037912.0
rsa-3072,keygen-cyc-mean,335219926.4
rsa-3072,keygen-persec,9.4
rsa-3072,pss-sign-iters,2000
rsa-3072,pss-sign-wall-median-ns,1327060.0
rsa-3072,pss-sign-wall-mean-ns,1339485.8
rsa-3072,pss-sign-wall-std-ns,66121.3
rsa-3072,pss-sign-wall-p95-ns,1336842.0
rsa-3072,pss-sign-wall-p99-ns,1706250.0
rsa-3072,pss-sign-wall-ci95lo-ns,1336587.9
rsa-3072,pss-sign-wall-ci95hi-ns,1342383.7
rsa-3072,pss-sign-cyc-median,3567074.0
rsa-3072,pss-sign-cyc-mean,3600476.1
rsa-3072,pss-sign-persec,753.5
rsa-3072,pss-verify-iters,2000
rsa-3072,pss-verify-wall-median-ns,29092.0
rsa-3072,pss-verify-wall-mean-ns,29135.3
rsa-3072,pss-verify-wall-std-ns,261.4
rsa-3072,pss-verify-wall-p95-ns,29306.0
rsa-3072,pss-verify-wall-p99-ns,30423.0
rsa-3072,pss-verify-wall-ci95lo-ns,29123.9
rsa-3072,pss-verify-wall-ci95hi-ns,29146.8
rsa-3072,pss-verify-cyc-median,78144.0
rsa-3072,pss-verify-cyc-mean,78260.7
rsa-3072,pss-verify-persec,34373.7
rsa-3072,oaep-encrypt-iters,2000
rsa-3072,oaep-encrypt-wall-median-ns,29612.0
rsa-3072,oaep-encrypt-wall-mean-ns,29662.6
rsa-3072,oaep-encrypt-wall-std-ns,515.3
rsa-3072,oaep-encrypt-wall-p95-ns,29826.0
rsa-3072,oaep-encrypt-wall-p99-ns,30794.0
rsa-3072,oaep-encrypt-wall-ci95lo-ns,29640.0
rsa-3072,oaep-encrypt-wall-ci95hi-ns,29685.2
rsa-3072,oaep-encrypt-cyc-median,79542.0
rsa-3072,oaep-encrypt-cyc-mean,79678.0
rsa-3072,oaep-encrypt-persec,33770.1
rsa-3072,oaep-decrypt-iters,2000
rsa-3072,oaep-decrypt-wall-median-ns,1328173.0
rsa-3072,oaep-decrypt-wall-mean-ns,1340295.9
rsa-3072,oaep-decrypt-wall-std-ns,65700.1
rsa-3072,oaep-decrypt-wall-p95-ns,1335707.0
rsa-3072,oaep-decrypt-wall-p99-ns,1707025.0
rsa-3072,oaep-decrypt-wall-ci95lo-ns,1337416.5
rsa-3072,oaep-decrypt-wall-ci95hi-ns,1343175.3
rsa-3072,oaep-decrypt-cyc-median,3570072.0
rsa-3072,oaep-decrypt-cyc-mean,3602652.9
rsa-3072,oaep-decrypt-persec,752.9
rsa-3072,size-key-bits,3072
rsa-3072,size-signature-bytes,384
ecdsa-P-256,keygen-iters,200
ecdsa-P-256,keygen-wall-median-ns,25343.0
ecdsa-P-256,keygen-wall-mean-ns,24361.0
ecdsa-P-256,keygen-wall-std-ns,9262.3
ecdsa-P-256,keygen-wall-p95-ns,26362.0
ecdsa-P-256,keygen-wall-p99-ns,38948.0
ecdsa-P-256,keygen-wall-ci95lo-ns,23077.3
ecdsa-P-256,keygen-wall-ci95hi-ns,25644.7
ecdsa-P-256,keygen-cyc-median,67830.0
ecdsa-P-256,keygen-cyc-mean,65216.8
ecdsa-P-256,keygen-persec,39458.6
ecdsa-P-256,sign-iters,2000
ecdsa-P-256,sign-wall-median-ns,16590.0
