iter,total_us,keygen_us,ecdhe_us,key_sched_us,sig_verify_us
0,2388.504,244.016,309.603,111.343,365.232
1,1759.301,185.707,300.679,88.718,305.996
2,2451.543,243.989,372.917,120.954,361.198
3,1796.424,175.691,284.854,95.184,328.287
4,1940.362,213.316,305.124,107.984,344.262
5,2139.385,241.862,356.649,110.78,357.611
6,1569.702,164.178,268.065,81.419,267.243
7,1954.034,204.372,342.425,97.693,295.502
8,1393.405,136.816,229.315,87.653,226.624
9,1968.825,219.836,311.861,101.44,343.19
10,1887.709,197.556,309.255,98.064,316.905
11,2077.694,203.739,447.787,100.289,297.754
12,1836.172,177.534,291.936,88.473,290.331
13,1698.217,175.774,291.127,89.908,278.041
14,2354.053,243.342,384.446,121.995,393.352
15,2215.149,251.685,359.407,119.843,361.596
16,2013.553,196.302,321.976,106.784,357.88
17,2045.345,202.276,295.715,96.505,331.114
18,1825.412,192.834,276.276,95.049,314.953
19,1843.041,170.616,285.507,96.049,322.338
