algo,metric,value
ML-KEM-768,keygen-iters,1
ML-KEM-768,keygen-wall-median-ns,129126.0
ML-KEM-768,keygen-wall-mean-ns,129126.0
ML-KEM-768,keygen-wall-std-ns,0.0
ML-KEM-768,keygen-wall-p95-ns,129126.0
ML-KEM-768,keygen-wall-p99-ns,129126.0
ML-KEM-768,keygen-wall-ci95lo-ns,129126.0
ML-KEM-768,keygen-wall-ci95hi-ns,129126.0
ML-KEM-768,keygen-cyc-median,346308.0
ML-KEM-768,keygen-cyc-mean,346308.0
ML-KEM-768,keygen-persec,7744.4
ML-KEM-768,encap-iters,1
ML-KEM-768,encap-wall-median-ns,63666.0
ML-KEM-768,encap-wall-mean-ns,63666.0
ML-KEM-768,encap-wall-std-ns,0.0
ML-KEM-768,encap-wall-p95-ns,63666.0
ML-KEM-768,encap-wall-p99-ns,63666.0
ML-KEM-768,encap-wall-ci95lo-ns,63666.0
ML-KEM-768,encap-wall-ci95hi-ns,63666.0
ML-KEM-768,encap-cyc-median,170738.0
ML-KEM-768,encap-cyc-mean,170738.0
ML-KEM-768,encap-persec,15707.0
ML-KEM-768,decap-iters,1
ML-KEM-768,decap-wall-median-ns,90860.0
ML-KEM-768,decap-wall-mean-ns,90860.0
ML-KEM-768,decap-wall-std-ns,0.0
ML-KEM-768,decap-wall-p95-ns,90860.0
ML-KEM-768,decap-wall-p99-ns,90860.0
ML-KEM-768,decap-wall-ci95lo-ns,90860.0
ML-KEM-768,decap-wall-ci95hi-ns,90860.0
ML-KEM-768,decap-cyc-median,243762.0
ML-KEM-768,decap-cyc-mean,243762.0
ML-KEM-768,decap-persec,11005.9
ML-KEM-768,size-key-bits,768
ML-KEM-768,size-pubkey-bytes,1184
ML-KEM-768,size-privkey-bytes,2400
ML-KEM-768,size-ciphertext-bytes,1088
ML-KEM-768,size-shared-secret-bytes,32
ML-DSA-65,keygen-iters,1
ML-DSA-65,keygen-wall-median-ns,705585.0
ML-DSA-65,keygen-wall-mean-ns,705585.0
ML-DSA-65,keygen-wall-std-ns,0.0
ML-DSA-65,keygen-wall-p95-ns,705585.0
ML-DSA-65,keygen-wall-p99-ns,705585.0
ML-DSA-65,keygen-wall-ci95lo-ns,705585.0
ML-DSA-65,keygen-wall-ci95hi-ns,705585.0
ML-DSA-65,keygen-cyc-median,1895678.0
ML-DSA-65,keygen-cyc-mean,1895678.0
ML-DSA-65,keygen-persec,1417.3
ML-DSA-65,sign-iters,1
ML-DSA-65,sign-wall-median-ns,877665.0
ML-DSA-65,sign-wall-mean-ns,877665.0
ML-DSA-65,sign-wall-std-ns,0.0
ML-DSA-65,sign-wall-p95-ns,877665.0
ML-DSA-65,sign-wall-p99-ns,877665.0
ML-DSA-65,sign-wall-ci95lo-ns,877665.0
